atlanta,braves,baseball,m,mlb
miami,marlins,baseball,m,mlb
new york,mets,baseball,m,mlb
philadelphia,phillies,baseball,m,mlb
washington,nationals,baseball,m,mlb
chicago,cubs,baseball,m,mlb
cincinnati,reds,baseball,m,mlb
milwaukee,brewers,baseball,m,mlb
pittsburgh,pirates,baseball,m,mlb
st. louis,cardinals,baseball,m,mlb
arizona,diamondbacks,baseball,m,mlb
colorado,rockies,baseball,m,mlb
los angeles,dodgers,baseball,m,mlb
san diego,padres,baseball,m,mlb
san francisco,giants,baseball,m,mlb
baltimore,orioles,baseball,m,mlb
boston red,sox,baseball,m,mlb
new york,yankees,baseball,m,mlb
tampa bay,rays,baseball,m,mlb
toronto blue,jays,baseball,m,mlb
chicago white,sox,baseball,m,mlb
cleveland,indians,baseball,m,mlb
detroit,tigers,baseball,m,mlb
kansas city,royals,baseball,m,mlb
minnesota,twins,baseball,m,mlb
houston,astros,baseball,m,mlb
los angeles,angels,baseball,m,mlb
oakland,athletics,baseball,m,mlb
seattle,mariners,baseball,m,mlb
texas,rangers,baseball,m,mlb
